language,id,text,file,node,lineNumber,lock,comment
en,line:03a0479,"Zima: Hey! Hey, cat!",Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedIntro,4,43e70728,
en,line:0adc426,Cat: ...,Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedIntro,5,5847d8cd,
en,line:0a1da00,Zima: Hey! Can you hear me?,Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedIntro,6,47805ac6,
en,line:0e42fb2,Cat: ...,Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedIntro,7,5847d8cd,
en,line:03a53ce,"Zima: Hey, cat!",Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedIntro,10,f8df5079,
en,line:0ce2a46,Cat: ...,Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedIntro,11,5847d8cd,
en,line:04c9f2f,"Red: Can't prepare yourself for sewers, I am right?",Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedIntro,13,a983279a,
en,line:0e304d4,"Zima: Cat, can you help me, please?",Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedIntro,17,3a13e29a,
en,line:0335185,Zima: I need to go.,Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedIntro,19,38373ac9,
en,line:0345c25,Zima: I need to go.,Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedIntro,22,38373ac9,
en,line:0faedd0,Cat: ...,Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedExit,30,5847d8cd,
en,line:00ce9ba,"Red: So, you're going into the sewers after all?",Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedExit,32,55168,
en,line:0b433d8,"Zima: Yeah, looks like I have no choise.",Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedExit,33,bbb91662,
en,line:08b02ce,Red: Best of luck to you then!,Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedExit,34,fb852e19,
en,line:011bacc,Cat: ...,Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedPoliteMeet,40,5847d8cd,
en,line:0abf79c,"Cat: What do you want, doggy?",Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedPoliteMeet,41,92e1159d,
en,line:0d9d586,"Zima: It's a really long story, but in short, I'm lost. I need to return to the city!",Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedPoliteMeet,42,78d56455,
en,line:0083946,"Zima: What's your name, by the way?",Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedPoliteMeet,43,1907f378,
en,line:0553953,Cat: ...,Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedPoliteMeet,44,5847d8cd,
en,line:0b1d603,"Cat: Name's Red, and believe it or not, I too need to get to the city.",Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedPoliteMeet,45,d2725ef6,
en,line:0b8182a,"Zima: Looks like from here the city is not far away, at paw's length.",Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedPoliteMeet,48,0ee662be,
en,line:00910e5,"Red: Yeah, no, it's going to be a long journey.",Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedPoliteMeet,49,fd4581e5,
en,line:03b64f8,Red: I heard you can get to the city through the sewerage and water supply system.,Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedPoliteMeet,51,f21b6c82,
en,line:07b63a6,"Red: There is a pipe ahead, it leads somewhere in the catacombs. You can take a look at it, if you want.",Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedPoliteMeet,52,34c388c6,
en,line:0081d6a,Red: Do you really want to return THAT way?,Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedPoliteMeet,53,937a4cea,Line metadata: lastline
en,line:0c7b44e,Zima: Looks like I have no choise.,Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedPoliteMeet,54,662aab17,
en,line:03fbdc4,Red: ...Good luck then!,Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedPoliteMeet,55,b75371b1,
en,line:0372a51,Zima: Maybe there's other ways to return to the city?,Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedPoliteMeet,56,4f283ac1,
en,line:073ad09,"Red: Not sure. I will look around, but there's only a pipe for now.",Assets/Characters/Player/Red The Cat/Dialogue/RedIntro.yarn,RedPoliteMeet,57,8e696f86,
en,line:016ed9d,Zima: Oh no! This is terrible!,Assets/Characters/Player/Zima The Dog/Dialogue/ZimaIntro.yarn,ZimaIntro,4,0176b5c8,
en,line:025f317,Zima: I'll never find my way home...,Assets/Characters/Player/Zima The Dog/Dialogue/ZimaIntro.yarn,ZimaIntro,5,fae08d8b,
en,line:0be39b6,Zima: Am I really lost?.. This cannot be!,Assets/Characters/Player/Zima The Dog/Dialogue/ZimaIntro.yarn,ZimaIntro,6,fd319298,
en,line:0ce4858,Zima: ...,Assets/Characters/Player/Zima The Dog/Dialogue/ZimaIntro.yarn,ZimaIntro,7,f9b0a002,
en,line:0f04c45,Zima: ...,Assets/Characters/Player/Zima The Dog/Dialogue/ZimaIntro.yarn,ZimaIntro,8,f9b0a002,
en,line:00cf2bc,"Zima: Ok, calm down! You can do this. You'll get out here!",Assets/Characters/Player/Zima The Dog/Dialogue/ZimaIntro.yarn,ZimaIntro,9,b49f8d14,
en,line:0dde220,Zima: I need to get a move on right now if I want to reach home.,Assets/Characters/Player/Zima The Dog/Dialogue/ZimaIntro.yarn,ZimaIntro,10,f824ab4b,
en,line:051be7d,Zima: I need to get a move on right now if I want to reach home.,Assets/Characters/Player/Zima The Dog/Dialogue/ZimaIntro.yarn,ZimaIntro,12,f824ab4b,
en,line:014ef7a,Zima: I can see a city in a distance...,Assets/Characters/Player/Zima The Dog/Dialogue/DistantCity.yarn,DistantCity,4,b6f31c90,
en,line:02bf3c3,Zima: Looks like I'm not far away after all.,Assets/Characters/Player/Zima The Dog/Dialogue/DistantCity.yarn,DistantCity,5,4c34cd21,
en,line:0022883,"Zima: It's gorgeous in here, but I need to get going.",Assets/Characters/Player/Zima The Dog/Dialogue/DistantCity.yarn,DistantCity,7,e37359ea,
en,line:a14ef8b,Zima: A concrete pipe...,Assets/Characters/Player/Zima The Dog/Dialogue/Pipe.yarn,Pipe,4,4c7730f7,
en,line:c14ef5c,Zima: I wonder if I can return to the city by pipes?,Assets/Characters/Player/Zima The Dog/Dialogue/Pipe.yarn,Pipe,5,ed284fd8,
en,line:d12ef6d,Zima: I'm not sure if this is the right way. Better ask the cat over there.,Assets/Characters/Player/Zima The Dog/Dialogue/Pipe.yarn,Pipe,7,df68f545,
